GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,BoardView,0,359,0,38,0,58,0,31,0,12
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,Row.new Iterator() {...},0,36,0,2,0,8,0,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,Row,0,55,0,0,0,12,0,7,0,7
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,Piece,4,19,0,0,2,8,1,4,1,4
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,MoveValidator,1,2154,46,324,0,278,46,168,0,29
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,Space,0,105,0,8,0,24,0,14,0,10
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board,BoardView.new Iterator() {...},0,36,0,2,0,8,0,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSignOutRoute,0,54,0,0,0,16,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostBackupMoveRoute,0,55,0,2,0,13,0,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetReplayRoute,150,17,8,0,28,6,5,2,1,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostResignRoute,0,54,0,0,0,15,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostValidateMoveRoute,0,74,1,3,0,18,1,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetGameRoute,5,382,3,21,2,74,3,12,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetHomeRoute,60,104,13,5,11,23,8,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,WebServer,0,162,0,0,0,26,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostReplayPrevTurnRoute,21,14,0,0,5,5,1,2,1,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetReplayStopRoute,0,29,0,0,0,10,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSubmitTurnRoute,8,31,0,0,2,9,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostReplayNextTurnRoute,21,14,0,0,5,5,1,2,1,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSignInRoute,0,135,0,8,0,30,0,7,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSignInRoute,0,39,0,0,0,10,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostCheckTurn,0,61,0,2,0,15,0,4,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model,Position,0,67,0,10,0,19,0,10,0,5
Web Checkers a'la Spark/Java8,com.webcheckers.model,MessageType,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,CheckerGame,43,712,8,48,8,164,6,53,0,31
Web Checkers a'la Spark/Java8,com.webcheckers.model,Move,0,228,0,16,0,42,0,18,0,10
Web Checkers a'la Spark/Java8,com.webcheckers.model,Player,16,120,2,14,2,30,3,20,1,14
Web Checkers a'la Spark/Java8,com.webcheckers.model,ViewMode,0,34,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,Message,0,15,0,0,0,6,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model,BotGame,4,97,2,12,1,30,2,8,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model,PlayerState,0,44,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,CheckerGame.GameWinner,0,44,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers,Application,96,0,0,0,26,0,4,0,4,0
Web Checkers a'la Spark/Java8,com.webcheckers.appl,GameCenter,0,64,0,0,0,18,0,6,0,6
Web Checkers a'la Spark/Java8,com.webcheckers.appl,PlayerLobby,0,82,0,8,0,22,0,11,0,7
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board.Enums,Color,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model.Board.Enums,Type,0,24,0,0,0,2,0,1,0,1
